trial_num	cat	length	theta	resp	rt	DTcorrect	DTrt	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
1	1.0	72.0	1.0	-1	-1	1	0	
2	1.0	72.0	1.0	0	-1	1	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
