trial_num	cat	length	theta	resp	rt	DTcorrect	DTrt	
1	1.0	72.0	1.0	2	0.840023918165	1	0	
2	2.0	76.0	0.6	1	1.2340284657	-1	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
3	1.0	67.0	0.7	-1	-1	0	0	
4	1.0	67.0	0.7	0	-1	-1	0	
