trial_num	cat	length	theta	resp	rt	DTcorrect	DTrt	
1	1.0	72.0	1.0	2	0.368128272419	1	0	
2	2.0	76.0	0.6	2	0.608984489483	0	0.0134404973384	
3	1.0	67.0	0.7	-1	0.608984489483	0	0	
4	1.0	67.0	0.7	-2	0.608984489483	0	0.0133737721932	
5	1.0	17.0	0.1	2	0.667034852596	1	0	
6	2.0	86.0	0.2	2	0.398016518066	1	0.0134102143879	
7	1.0	95.0	0.8	1	0.387993374706	1	0.0134738599111	
8	2.0	74.0	0.9	1	0.405982473871	1	0.013849573806	
9	1.0	108.0	0.1	-1	0.405982473871	0	0	
10	1.0	108.0	0.1	-2	0.405982473871	0	1.04281239302	
